Product Name,Electronics,Home Goods,Apparel,Books,Food & Beverage,Health & Beauty,Sports & Outdoors,Toys & Games,Automotive,Pet Supplies,Gardening,Office Supplies,Jewelry,Art & Craft Supplies
Smartphone,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smartwatch,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wireless Earbuds,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart TV,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Maker,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Toaster,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blender,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vacuum Cleaner,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Desk Lamp,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T-Shirt,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jeans,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dress,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sneakers,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jacket,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fiction Novel,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cookbook,0,0,0,1,0,0,0,0,0,0,0,0,0,0
History Book,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Children's Book,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Self-Help Book,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coffee Beans,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Organic Tea,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chocolate Bar,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pasta,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Olive Oil,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shampoo,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toothpaste,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Face Moisturizer,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sunscreen,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitamin Supplements,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Yoga Mat,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Running Shoes,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Camping Tent,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Backpack,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Water Bottle,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Action Figure,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Board Game,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Building Blocks,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Remote Control Car,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Puzzle,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Car Air Freshener,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Car Floor Mats,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jump Starter,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tire Pressure Gauge,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Car Phone Holder,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dog Food,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cat Litter,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pet Bed,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pet Toys,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fish Tank,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Garden Hose,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gardening Gloves,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Flower Seeds,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Plant Pots,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fertilizer,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pens,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stapler,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Printer Paper,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Desk Organizer,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Necklace,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Earrings,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bracelet,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ring,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Watch (non-smart),0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paint Set,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sketchbook,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Color Pencils,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clay Kit,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canvas,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wireless Charger,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Robot Vacuum,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Winter Coat,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Science Fiction Novel,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Energy Drink,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Body Lotion,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dumbbells,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drone,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Car GPS,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cat Tree,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Compost Bin,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Shredder,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Earrings Stand,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Easel,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Portable Speaker,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Fryer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Swimsuit,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Graphic Novel,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Snack Bars,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hair Dryer,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tennis Racket,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Video Game Console,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Car Wash Kit,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bird Feeder,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Seed Starting Kit,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Desk Chair,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cufflinks,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Calligraphy Set,0,0,0,0,0,0,0,0,0,0,0,0,0,1
External Hard Drive,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Air Purifier,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Socks,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fantasy Novel,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Herbal Tea,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Electric Toothbrush,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bicycle,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dollhouse,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Car Battery Charger,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dog Leash,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pruning Shears,0,0,0,0,0,0,0,0,0,0,1,0,0,0
